



! Diffraction pattern from  CeO2 CuKalpha
#
     25.000   0.025  143.000
      32      39      32      32      32      28      38      36      53      31
      40      38      43      47      38      34      31      34      31      36
      27      44      38      37      36      31      38      42      37      60
      59      77      60      51      50      44      42      32      38      38
      32      32      32      31      43      33      37      31      33      43
      42      46      37      26      31      39      46      38      32      29
      37      38      30      42      25      30      29      34      37      43
      32      28      32      29      50      29      33      43      31      42
      33      42      27      39      26      24      38      24      43      32
      50      43      31      42      54      37      37      51      43      28
      38      44      34      47      50      56      40      47      53      60
      50      53      57      56      65      56      70      86      72      94
      88      92     108     118     129     144     187     187     278     275
     331     424     556     655     936    1274    1866    2735    3745    5610
    8519   13665   22530   28459   23994   17397   13665    8611    3540    1239
     739     552     453     380     349     299     219     184     174     151
     116     104     104      96      82      60      62      67      50      67
      43      47      54      42      53      44      43      44      37      49
      49      53      47      40      34      40      28      47      38      31
      32      43      43      49      39      34      44      28      31      25
      38      25      40      28      38      34      31      34      32      32
      27      32      31      29      30      26      32      27      32      31
      23      40      30      25      36      26      27      24      30      26
      31      27      34      12      19      29      27      22      25      25
      24      21      32      31      20      28      31      21      24      24
      25      20      24      27      32      30      20      24      23      25
      23      21      32      21      24      23      24      26      30      27
      27      21      22      21      21      25      29      20      23      32
      49      20      20      24      26      40      26      32      28      26
      32      29      31      22      32      30      31      38      40      47
      47      46      53      44      43      53      62      56      72      77
      70      84     121     106     132     210     272     368     552     795
    1204    1840    3036    5241    7726    7447    5299    4186    3806    2381
     900     349     228     193     146     108     112      77      84      57
      65      75      43      50      50      33      36      43      32      40
      34      25      30      37      22      19      25      12      23      32
      28      33      27      15      29      23      24      19      24      20
      23      24      20      31      25      33      20      19      16      22
      12      13      19      26      25      21      16      17      19      17
      13      21      29      23      16      29      25      19      16      17
      25      17      21      12      15      25      20      19      19      16
      20      24      16      15      21      12      26      21      17      26
      15      19      12      20      16      16      17      17      20      24
      21      26      17      19      29      16      21      10      16      21
      13      12      20      12      24      19      21      17      16      12
      16      16      12      27      16      15      15      15      20      16
      19      19      12      27      13      19      16      27      15      22
      13      15      17      15       7      16      15       5      20      20
      19      24      23      16      20      21      17      20      12      13
      23       7      13      10      19      12      13      12      16      10
      13      12      12      17      16      15      12      16       6      16
      16      16      10      17      24      10      22      24      23      16
      21      16      16      16      24      12      24      21      16      12
      12      21      20      16      16      12       7      22      10      13
      16      16      13      12      16      22      10      15      16       7
      16      16      17      13      10      16      12      16      12      10
      17      16      10      10      15      16      19      13      20      16
       9      12      12      15      15      16      10      16      15      17
      19      13       7      22      16      16      15      12      22      20
      12      13      17       9      21      16      12      16       7      12
      15      12      13      13      15      12      13      12      15      13
      13      12      16      22      16      15      13      23      10      13
      12      21       5      15      12       9      16      17      19      17
       9      16      16      10      12      20      20      16      16      10
       6      10      13      17      15      13      10      19      16      16
      12      19      12      13      13       5      12      15      16      16
       6      15      16      13      10      12      21      22      16       9
      13      13       7      15      12      16      13      10      10      15
      12      12      12      17      20      15      16      16       5      12
      19      21      16      10      24      15      15      13      16      12
      10      15      12      15      16      20      21      29      34      31
      12      19      16      20      19      17      13      10      16       7
      15      13      15      20      24      13      16      19      16      19
      15      10      17      15      13       5      17      12      22      10
      10      12      10      10       9      12      13      17      13       7
      10      12      30      12      10      12      20      12      10      10
      17      15      21      16      19      13       6      13      10      10
      17      15      19      23      12      15      10      15      20      13
      15      12      21       6      16      17      10      12      16      24
      13      16      13      15      15      17      20      13       5      26
      13      20      12      12      16      16      10      13      15      20
      12      12      15      15      12      27      17      15      24      13
       6      25      17      10      15      19      24      23      10      13
      13      20      20      20      15      22      16      21      16      22
      22      21      32      25      13      30      22      20      26      28
      32      28      25      22      21      28      26      31      32      31
      38      27      32      28      46      46      38      26      38      30
      32      42      43      50      56      50      38      59      70      57
      65      65      81      86     104     110     132     166     169     201
     262     327     353     470     610     906    1406    2550    4747    8968
   13994   13156    7921    4462    5169    6988    6416    3516    1428     676
     412     338     285     210     176     161     139     104      96      96
      64      57      70      65      53      54      46      59      44      40
      46      32      39      43      36      46      38      36      38      36
      24      24      21      29      27      30      16      27      34      12
      28      22      28      20      22      15      26      19      21      31
      22      15      16      20      22      21      17      28      12      24
      17      10      22      15      21      12      17      12      20      12
      17      25      25       9      13      12      10      24      16      10
      17      12      13      12      15      12      12      15      15      15
      12      13      15      13      15      12      16      10       7      12
      16      16      13      17      22      19      12      25      20      16
      25      32      31      19      20      20       4      12      26      19
      17      16      13      10      15       7      17      16      13      12
      15      12      19      16      10      13      21      16      10      12
      12      19      16      12      16      10      17      15      10       9
      12      10      16      13      10      19      10      10      19      16
      10      15      13      16      19      19      15      10      12      25
      10      21      10       7      13      10      15      12      15      19
      22       5       9      12      10      16      17      21      13      22
      19      19      19      19      10      20      15      13      13      12
      17      19      21      19      21      17      16      19      16      19
      16      13       7      20      22      17      16      12      12      22
      16      19      23      13      16      12      12      12      19      10
      13      22      13      19      15      16      20      15       6      12
      10      15      16      16      13      16      17      16      22      17
      17      20      16      13      13      20      20      21      17      25
      17      16      16      17      16      16      16      20      12      12
      21      16      22      17      16      12      23      25      24      23
      20      15      23      24      21      22      21      29      26      20
      13      24      28      22      16      26      22      19      27      24
      32      29      27      26      31      26      30      33      32      16
