D1A6 Y0.91Ca0.09Ba2Cu3O7-x, 1.GB    FF    9-DEC-95 09:23:58 16995 to  16998     
     100       0   0.050       1       0       0
   0.000
  12000.      0.    1.71    2.18
 2     0 2     1 2     1 2     1 2     1 2     2 2     1 2     1 2     1 2     0
 2     2 2     1 2     1 2     0 2     2 2     2 2     1 2     0 2     1 2     1
 2     0 2     1 2     0 2     1 2     2 2     3 2     1 2     0 2     0 2     1
 2     0 2     1 2     2 2     1 2     1 2     3 2     1 2     1 2     0 2     1
 2     2 2     4 2     2 2     0 2     0 2     1 2     2 2     1 2     1 2     3
 2     1 2     3 2     3 2     1 2     1 2     5 2     4 2    11 2    12 2    10
 2    10 2    11 2    11 2    14 2    15 2    17 2    17 2    20 2    16 2    15
 2    14 2    13 2    14 2    18 2    21 2    17 2    20 2    24 2    18 2    18
 2    19 2    18 2    21 2    20 2    25 2    23 2    31 2    28 2    23 2    23
 2    32 2    38 2    39 2    38 2    42 2    41 2    46 2    38 2    40 2    41
 2    47 2    46 2    47 2    50 2    60 2    52 2    53 2    62 2    56 2    60
 2    61 2    61 2    53 2    67 2    75 2    61 2    63 2    70 2    69 2    72
 3    70 4    76 4    81 4    78 4    83 4    84 4    80 4    77 4    85 4    91
 4    87 4    87 4   100 4   100 4   104 4   102 4   107 4   102 4   116 4   112
 4   116 4   116 4   112 4   123 4   126 4   112 4   126 4   124 4   127 4   124
 4   126 4   129 4   130 4   141 4   140 4   135 4   136 4   135 4   140 4   144
 4   144 4   139 4   147 4   144 4   164 4   165 4   157 4   156 4   159 4   169
 4   169 4   171 4   173 4   173 4   180 4   192 4   194 4   190 4   201 4   222
 4   241 4   247 4   279 4   282 4   281 4   300 4   325 4   348 4   344 4   368
 4   348 4   331 4   331 4   303 4   280 4   245 4   196 4   152 4   120 4   108
 4    95 4    84 4    87 4    80 4    78 4    75 4    73 4    71 4    74 4    72
 4    71 4    70 4    73 4    74 4    69 4    68 4    76 4    71 4    65 4    65
 4    70 4    72 4    70 4    70 4    70 4    71 4    66 4    65 4    72 4    63
 4    72 4    73 4    69 4    72 4    71 4    72 4    71 4    73 4    76 4    72
 4    70 4    77 4    70 4    71 4    81 4    72 4    74 4    73 4    68 4    75
 4    76 4    68 4    73 4    72 4    72 4    76 4    72 4    70 4    74 4    72
 4    64 4    71 4    82 4    75 4    74 4    77 4    75 4    76 4    75 4    73
 4    62 4    68 4    68 4    69 4    71 4    64 4    69 4    65 4    64 4    73
 4    73 4    70 4    68 4    71 4    67 4    67 4    70 4    66 4    66 4    70
 4    76 4    75 4    72 4    70 4    72 4    73 4    70 4    75 4    73 4    72
 4    71 4    70 4    65 4    68 4    78 4    71 4    70 4    69 4    67 4    69
 4    72 4    65 4    67 4    74 4    65 4    69 4    74 4    69 4    64 4    70
 4    74 4    72 4    70 4    60 4    64 4    71 4    67 4    69 4    64 4    70
 4    75 4    72 4    70 4    61 4    65 4    70 4    66 4    70 4    69 4    67
 4    71 4    70 4    67 4    61 4    65 4    67 4    73 4    74 4    64 4    67
 4    71 4    74 4    73 4    62 4    69 4    75 4    77 4    85 4    73 4    64
 2    81 4    84 4    87 4    80 4    78 4    77 4    87 4    76 4    80 4    90
 4    92 4    87 4    88 4    91 4    99 4   101 4   102 4   108 4   105 4   105
 4   106 4   109 4    97 4    89 4    86 4    81 4    75 4    77 4    77 4    67
 4    66 4    71 4    72 4    67 4    66 4    69 4    68 4    70 4    71 4    74
 4    73 4    67 4    69 4    65 4    66 4    65 4    63 4    77 4    69 4    61
 4    70 4    64 4    67 4    71 4    66 4    69 4    64 4    65 4    61 4    65
 4    69 4    59 4    66 4    66 4    70 4    70 4    60 4    65 4    71 4    62
 4    62 4    72 4    68 4    67 4    68 4    67 4    65 4    62 4    67 4    74
 4    70 4    67 4    66 4    70 4    69 4    71 4    71 4    71 4    68 4    68
 4    70 4    72 4    74 4    72 4    68 4    69 4    71 4    71 4    72 4    70
 4    68 4    71 4    66 4    66 4    63 4    62 4    74 4    76 4    73 4    66
 4    69 4    67 4    66 4    67 4    71 4    71 4    64 4    68 4    68 4    59
 6    62 4    69 4    70 4    72 4    67 4    71 4    74 4    72 4    70 4    65
 4    62 4    66 4    67 4    72 4    72 4    69 4    68 4    66 4    65 4    67
 4    70 4    66 4    68 4    65 4    67 4    71 4    73 4    77 4    79 4    66
 4    74 4    78 4    73 4    70 4    74 4    68 4    71 4    71 4    64 4    71
 4    69 4    66 4    74 4    68 4    65 4    65 4    63 4    68 4    72 4    73
 4    62 4    70 4    63 4    63 4    72 4    67 4    72 4    70 4    66 4    67
 4    70 4    69 4    71 4    75 4    67 4    70 4    64 4    64 4    65 4    72
 4    70 4    69 4    75 4    77 4    86 4    94 4   106 4   111 4   124 4   128
 4   137 4   144 4   164 4   184 4   213 4   233 4   247 4   274 4   297 4   299
 4   327 4   373 4   386 4   403 4   384 4   388 4   367 4   353 4   364 4   344
 4   334 4   342 4   334 4   334 4   319 4   273 4   250 4   216 4   171 4   148
 4   114 4    97 4    93 4    96 4    93 4    91 4    90 4    96 4   111 4   116
 3   104 4   119 4   138 4   144 4   149 4   162 4   172 4   180 4   202 4   206
 4   220 4   222 4   219 4   241 4   234 4   227 4   196 4   186 4   160 4   133
 4   113 4    98 4    90 4    79 4    75 4    72 4    68 4    66 4    71 4    67
 4    69 4    71 4    66 4    64 4    70 4    66 4    69 4    69 4    65 4    68
 4    65 4    70 4    65 4    66 4    62 4    58 4    71 4    68 4    62 4    65
 4    63 4    71 4    74 4    65 4    63 4    69 4    67 4    72 4    64 4    66
 4    67 4    65 4    73 4    67 4    64 4    66 4    63 4    66 4    70 4    72
 4    72 4    65 4    62 4    66 4    72 4    64 4    76 4    77 4    77 4    80
 4    86 4    83 4    82 4    95 4    95 4    94 4    94 4    98 4   103 4   110
 4   108 4   103 4   110 4   103 4    95 4   103 4    97 4    88 4    87 4    88
 4    84 4    77 4    74 4    74 4    79 4    74 4    76 4    72 4    61 4    65
 4    75 4    72 4    71 4    66 4    72 4    74 4    71 4    68 4    70 4    69
 6    70 4    73 4    64 4    68 4    71 4    83 4    74 4    73 4    74 4    75
 4    78 4    72 4    77 4    76 4    79 4    72 4    71 4    78 4    71 4    66
 4    68 4    78 4    62 4    70 4    71 4    74 4    79 4    76 4    73 4    79
 4    81 4    85 4    89 4   101 4   116 4   121 4   126 4   137 4   157 4   179
 4   204 4   217 4   228 4   244 4   262 4   282 4   277 4   291 4   299 4   274
 4   232 4   199 4   168 4   127 4   111 4    89 4    82 4    84 4    79 4    76
 4    72 4    72 4    72 4    67 4    71 4    69 4    74 4    72 4    71 4    66
 4    61 4    70 4    74 4    62 4    63 4    69 4    71 4    69 4    74 4    79
